price_cleaned,space_cleaned,lat,lon,gde_area_forest_percentage,type_unified
3500000.0,275.0,46.5218269,6.6327025,39.1483184128,detached-house
995000.0,106.0,46.5218269,6.6327025,39.1483184128,flat
935000.0,100.0,46.5218269,6.6327025,39.1483184128,flat
640000.0,52.0,46.5218269,6.6327025,39.1483184128,flat
730000.0,61.0,46.5218269,6.6327025,39.1483184128,flat
2190000.0,237.0,46.5218269,6.6327025,39.1483184128,attic-flat
2190000.0,227.0,46.5218269,6.6327025,39.1483184128,flat
2490000.0,288.0,46.5218269,6.6327025,39.1483184128,flat
2490000.0,277.0,46.5218269,6.6327025,39.1483184128,flat
528000.0,60.0,46.5349093,6.5928442,2.3728813559,flat
1390000.0,155.0,46.5349093,6.5928442,2.3728813559,flat
2200000.0,204.0,46.5349093,6.5928442,2.3728813559,villa
380000.0,30.0,46.5285212,6.5726698,9.0361445783,flat
463000.0,28.0,46.5285212,6.5726698,9.0361445783,furnished-residential-property
610000.0,64.0,46.5285212,6.5726698,9.0361445783,flat
820000.0,87.0,46.5285212,6.5726698,9.0361445783,flat
1090000.0,116.0,46.5285212,6.5726698,9.0361445783,flat
1765000.0,120.0,46.51577010135593,6.5689171538983055,7.1428571429,flat
1830000.0,206.0,46.5100832,6.5580607,7.1428571429,duplex-maisonette
1980000.0,194.0,46.5100832,6.5580607,7.1428571429,flat
1980000.0,248.0,46.5100832,6.5580607,7.1428571429,flat
2400000.0,212.0,46.5100832,6.5580607,7.1428571429,duplex-maisonette
2400000.0,212.0,46.5100832,6.5580607,7.1428571429,duplex-maisonette
1990000.0,180.0,46.534381,6.5410474,5.3571428571,semi-detached-house
890000.0,107.0,46.534381,6.5410474,5.3571428571,attic-flat
1940000.0,188.0,46.534381,6.5410474,5.3571428571,detached-house
660000.0,66.0,46.534381,6.5410474,5.3571428571,flat
890000.0,92.0,46.56191966666667,6.5627041466666665,9.0361445783,attic-flat
1156000.0,122.0,46.5675877,6.5616074,9.0361445783,flat
930000.0,121.0,46.6073191,6.583427,13.2075471698,semi-detached-house
875000.0,105.0,46.6041672,6.5633012,16.2371134021,flat
1695000.0,220.0,46.6048716,6.5646301,16.2371134021,detached-house
960000.0,77.0,46.5218269,6.6327025,39.1483184128,flat
990000.0,85.0,46.5256358,6.6293641,39.1483184128,loft
995000.0,103.0,46.5218269,6.6327025,39.1483184128,flat
